('SA-腾讯社交广告微信公众号广告运营经理（微信广告 深圳）', '产品/项目类', '2', '深圳', '2018-06-05')
('17467-高级品牌经理（深圳）', '市场类', '1', '深圳', '2018-06-05')
('AQ-数据分析经理', '职能类', '2', '深圳', '2018-06-05')
('WXG06-122 微信支付数据挖掘工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('CS-高级测试工程师', '技术类', '1', '深圳', '2018-06-05')
('TEG14-运营开发工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('21309-在线教育ios高级开发工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('AQ-行业合作经理（北京）', '职能类', '1', '北京', '2018-06-05')
('ZSC-专利工程师', '职能类', '1', '深圳', '2018-06-05')
('MIG09-商品推荐算法高级工程师', '技术类', '2', '深圳', '2018-06-05')
('WXG04-111 微信小游戏数据分析工程师（深圳、广州）', '技术类', '1', '广州', '2018-06-05')
('OMG236-腾讯视频编码研发高级工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('23295-互娱媒介拓展经理（运营）（深圳）', '市场类', '1', '深圳', '2018-06-05')
('TEG11-高级后台开发工程师（北京）', '技术类', '2', '北京', '2018-06-05')
('SNG02-Web前端高级开发工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('23295-互娱媒介拓展经理（深圳）', '市场类', '1', '深圳', '2018-06-05')
('SA-腾讯社交广告创意经理(深圳)', '市场类', '3', '深圳', '2018-06-05')
('15612-高级场景原画设计师（北京）', '设计类', '1', '北京', '2018-06-05')
('S2-财经外联与拓展经理（深圳）', '职能类', '1', '深圳', '2018-06-05')
('OMG236-腾讯视频测试开发工程师（深圳）', '技术类', '2', '深圳', '2018-06-05')
('18435-风控总监（深圳）', '技术类', '1', '深圳', '2018-06-05')
('OMG236-视觉设计师（深圳）', '设计类', '2', '深圳', '2018-06-05')
('TEG17-深度学习研究员（深圳）', '技术类', '2', '深圳', '2018-06-05')
('TEG13-自然语言处理高级工程师（北京）', '技术类', '2', '北京', '2018-06-05')
('20761-内容管理高级经理（北京）', '职能类', '2', '北京', '2018-06-05')
('25928-次世代UI设计师（上海）', '设计类', '1', '上海', '2018-06-05')
('15602-UI组组长（深圳）', '设计类', '1', '深圳', '2018-06-05')
('22989-腾讯云售后技术支持工程师（视频云）（北京/深圳/成都）', '技术类', '3', '深圳', '2018-06-05')
('15573-SLG类手游商业化策划（上海）', '产品/项目类', '1', '上海', '2018-06-05')
('18671-新手游活动运营（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('18796-产品经理(深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('18796-后台开发工程师(深圳)', '技术类', '1', '深圳', '2018-06-05')
('17520-互娱韩语海外PM(深圳)', '产品/项目类', '1', '深圳', '2018-06-05')
('21530-腾讯音乐直播iOS开发组长（广州）', '技术类', '1', '广州', '2018-06-05')
('21530-腾讯音乐直播移动技术负责人（广州）', '技术类', '1', '广州', '2018-06-05')
('TEG12-数据中心经理（北京）', '技术类', '2', '北京', '2018-06-05')
('23295-互娱移动游戏社区产品经理（深圳）', '产品/项目类', '2', '深圳', '2018-06-05')
('23295-互娱移动游戏社区运营经理（深圳）', '产品/项目类', '2', '深圳', '2018-06-05')
('19081-游戏音频设计师（上海）', '产品/项目类', '1', '上海', '2018-06-05')
('MIG06-应用宝产品策划经理（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('21530-腾讯音乐短视频内容运营负责人（广州）', '内容编辑类', '1', '广州', '2018-06-05')
('25814-腾讯新闻话题产品策划组长（北京）', '产品/项目类', '1', '北京', '2018-06-05')
('OMG192-渠道运营管理（上海）', '市场类', '1', '上海', '2018-06-05')
('SNG08-社交平台Android开发工程师（上海）', '技术类', '3', '上海', '2018-06-05')
('SNG08-社交平台iOS开发工程师（上海）', '技术类', '3', '上海', '2018-06-05')
('MIG08-后台开发工程师（腾讯wifi管家）（广州）', '技术类', '1', '广州', '2018-06-05')
('SNG06-企鹅电竞商业化运营经理（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('SNG06-企鹅电竞赛事运营经理（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('OMG236-腾讯视频OTT&腾讯智慧家庭产品经理（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('MIG08-数据挖掘工程师(广州)(腾讯WiFi管家)', '技术类', '1', '广州', '2018-06-05')
('15569-魂斗罗高级交互设计师（深圳）', '设计类', '1', '深圳', '2018-06-05')
('21229-高级游戏业务商业分析经理（上海）', '产品/项目类', '1', '上海', '2018-06-05')
('21229-高级游戏市场产品分析（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('MIG07-电脑管家客户端开发工程师（深圳）', '技术类', '2', '深圳', '2018-06-05')
('SNG06-企鹅电竞高级主播运营经理（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('15573-资深手游运营经理（上海）', '产品/项目类', '1', '上海', '2018-06-05')
('TEG13-后台开发工程师（深圳）', '技术类', '2', '深圳', '2018-06-05')
('SA-腾讯社交广告KA效果广告产品运营经理（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('15569-魂斗罗高级UI设计师（深圳）', '设计类', '1', '深圳', '2018-06-05')
('SNG08-企鹅FM+微视 iOS开发工程师(深圳)', '技术类', '1', '深圳', '2018-06-05')
('OMG148-图像识别工程师（北京）', '技术类', '2', '北京', '2018-06-05')
('15618-3D美术角色（上海）', '设计类', '1', '上海', '2018-06-05')
('SNG06-企鹅电竞直播运营经理（深圳）', '产品/项目类', '2', '深圳', '2018-06-05')
('TEG14-mysql运维工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('TEG13-图像OCR算法工程师(北京)', '技术类', '1', '北京', '2018-06-05')
('OMG236-iOS高级工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('25924-运营开发高级工程师（上海）', '技术类', '1', '上海', '2018-06-05')
('TEG03-高级算法研发工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('15573-资深手游运营策划（上海）', '产品/项目类', '1', '上海', '2018-06-05')
('16811-授权拓展经理', '市场类', '1', '北京', '2018-06-05')
('MIG07-手游助手产品数据运营经理（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('MIG07-手游助手游戏发行运营经理', '产品/项目类', '1', '深圳', '2018-06-05')
('21309-企鹅辅导在线班课运营经理（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('SNG03-互动视频产品策划经理（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('SA-腾讯社交广告快消零售行业产品运营（大客户运营）（上海）', '产品/项目类', '2', '北京', '2018-06-05')
('SNG06-QQ手游平台高级运营经理（深圳）', '产品/项目类', '1', '深圳', '2018-06-05')
('OMG236-视频推荐算法工程师(北京)', '技术类', '1', '北京', '2018-06-05')
('OMG236-视频推荐数据开发工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('OMG236-推荐算法工程师（深圳）', '技术类', '1', '深圳', '2018-06-05')
('21229-高级游戏市场产品分析（上海）', '产品/项目类', '1', '上海', '2018-06-05')
('SNG17-QQ钱包客户端开发（深圳）', '技术类', '1', '深圳', '2018-06-05')
